TEAM  FG  AST PCE
ATL 3121 2111 93.9
BOS 3193 2009 95.8
BRK 3069 1716 92.7
CHO 2913 1654 93.0
CHI 3001 1781 92.8
CLE 3089 1814 92.3
DAL 3255 1846 95.2
DEN 3099 1788 96.1
DET 3041 1771 92.8
GSW 3410 2248 98.3
HOU 3032 1820 96.5
IND 2998 1757 93.2
LAC 3228 2031 94.7
LAL 3054 1715 94.0
MEM 3097 1777 92.0
MIA 2885 1626 90.9
MIL 3083 1932 94.1
MIN 2986 1771 94.4
NOP 3108 1806 91.4
NYK 2882 1746 91.2
OKC 3184 1681 95.7
ORL 3076 1692 93.8
PHI 2765 1683 95.7
PHO 3178 1659 96.3
POR 3175 1799 94.2
SAC 3010 1667 95.4
SAS 3208 2000 93.8
TOR 3108 1701 92.8
UTA 2900 1632 90.4
WAS 3139 1969 93.7
